order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00017,17,375,CUST_0375,3/17/2023,2023-07-05T16:55:00.000Z,PROD_091,21,6,5,298.96,190.06,246.56,728.94,19.63,5.50,0.00,SHIPPED,CANCELLED,bank_transfer,7951 Oak Ave,,
ORD_00018,18,363,CUST_0363,,2023-08-02T13:17:00.000Z,PROD_009,59,3,5,111.87,392.87,197.15,379.49,0.00,7.42,0.00,delivered,delivered,debit_card,9147 Oak Ave,,
ORD_00019,19,461,CUST_0461,12/11/2023,2023-05-20T16:47:00.000Z,PROD_094,19,4,2,317.64,34.09,326.69,78.80,15.24,19.64,0.00,pending,SHIPPED,paypal,4018 Main St,Special delivery instructions,
ORD_00020,20,41,CUST_0041,2023-01-10,2023-12-09T11:12:00.000Z,PROD_194,153,9,1,244.01,87.02,559.32,214.24,11.82,39.92,0.00,,SHIPPED,bank_transfer,3356 Main St,Special delivery instructions,
ORD_00021,21,255,CUST_0255,2023-11-16,2023-10-09T00:18:00.000Z,PROD_144,163,2,4,389.37,348.69,392.45,451.12,0.00,47.39,38.16,pending,delivered,debit_card,269 Main St,,TRK324821
ORD_00022,22,164,CUST_0164,5/27/2023,,PROD_106,52,7,1,83.66,381.11,721.91,328.69,0.00,47.59,0.00,CANCELLED,pending,bank_transfer,3347 Oak Ave,,TRK637233
ORD_00023,23,491,CUST_0491,7/7/2023,2023-08-24T11:29:00.000Z,PROD_098,181,10,3,115.10,163.43,1022.44,315.81,0.00,50.54,0.00,,processing,debit_card,4539 Oak Ave,,
ORD_00024,24,423,CUST_0423,6/10/2023,2023-06-16T05:25:00.000Z,PROD_131,128,6,1,141.27,31.60,382.27,285.36,12.28,47.01,0.00,delivered,processing,paypal,1667 Pine Rd,,TRK544213
ORD_00025,25,292,CUST_0292,,,PROD_150,77,8,4,335.01,149.46,746.88,774.64,0.00,21.82,0.00,,SHIPPED,cash,382 Main St,,TRK699110
ORD_00026,26,359,CUST_0359,3/24/2023,2023-01-02T19:38:00.000Z,PROD_138,51,3,5,476.44,362.37,294.89,477.70,0.00,20.25,0.00,delivered,delivered,debit_card,5580 Pine Rd,,TRK480348
ORD_00027,27,149,CUST_0149,10/5/2023,2023-09-13T10:35:00.000Z,PROD_182,62,6,3,222.75,409.55,409.52,651.89,21.80,22.50,0.00,delivered,delivered,cash,3020 Main St,Special delivery instructions,
ORD_00028,28,192,CUST_0192,4/25/2023,2023-04-12T01:44:00.000Z,PROD_083,34,7,5,353.58,358.02,706.50,425.34,19.41,33.07,0.00,processing,processing,debit_card,3203 Pine Rd,,
ORD_00029,29,443,CUST_0443,3/26/2023,2023-12-09T17:09:00.000Z,PROD_142,183,6,3,183.24,223.02,364.81,145.09,0.00,46.68,0.00,returned,,paypal,1039 Oak Ave,,TRK512143
ORD_00030,30,141,CUST_0141,8/4/2023,2023-01-22T10:44:00.000Z,PROD_115,139,5,3,99.64,196.47,312.97,664.48,0.00,17.10,38.83,pending,SHIPPED,cash,3754 Main St,,TRK273060
ORD_00031,31,86,CUST_0086,4/28/2023,2023-07-22T13:58:00.000Z,PROD_032,35,4,1,226.90,127.89,706.11,439.40,0.00,7.16,0.00,CANCELLED,pending,debit_card,5199 Pine Rd,Special delivery instructions,
ORD_00032,32,482,CUST_0482,,,PROD_108,21,8,4,207.53,269.38,334.16,184.69,0.00,33.79,42.41,,pending,credit_card,6385 Main St,,TRK843225
ORD_00033,33,355,CUST_0355,2023-11-15,2023-10-18T04:16:00.000Z,PROD_091,151,1,5,109.55,247.92,768.89,826.23,5.88,38.26,0.00,returned,returned,paypal,5657 Pine Rd,,
ORD_00034,34,168,CUST_0168,4/11/2023,,PROD_160,25,9,2,163.29,194.76,245.13,477.12,0.00,7.55,0.00,SHIPPED,processing,cash,9940 Oak Ave,,TRK263325
ORD_00035,35,77,CUST_0077,6/22/2023,,PROD_005,91,10,1,29.87,90.44,540.19,618.90,24.27,2.30,13.47,,CANCELLED,bank_transfer,769 Pine Rd,,
ORD_00036,36,142,CUST_0142,2023-02-15,2023-09-05T22:29:00.000Z,PROD_009,95,6,3,401.88,339.87,537.46,387.41,13.19,39.38,0.00,delivered,,debit_card,7300 Main St,,TRK632820
ORD_00037,37,455,CUST_0455,1/24/2023,2023-09-08T21:39:00.000Z,PROD_197,128,9,1,141.66,196.22,512.75,411.08,23.74,20.46,44.50,delivered,returned,cash,9656 Oak Ave,Special delivery instructions,
ORD_00038,38,48,CUST_0048,5/26/2023,2023-04-12T15:45:00.000Z,PROD_071,187,10,5,336.42,179.61,269.00,336.68,16.45,37.77,18.70,processing,returned,debit_card,2325 Oak Ave,,TRK244389
ORD_00039,39,362,CUST_0362,4/18/2023,2023-03-11T21:36:00.000Z,PROD_038,2,2,1,463.22,225.10,755.92,362.83,12.92,34.56,0.00,pending,returned,paypal,3292 Pine Rd,,TRK543619
ORD_00040,40,201,CUST_0201,2/9/2023,2023-02-25T08:10:00.000Z,PROD_196,82,9,2,153.26,233.69,879.98,625.72,22.86,40.16,21.14,SHIPPED,processing,paypal,1174 Oak Ave,,TRK528787
ORD_00041,41,278,CUST_0278,5/15/2023,2023-06-22T19:15:00.000Z,PROD_178,136,4,1,474.57,312.88,111.08,207.42,0.00,19.74,0.00,pending,pending,credit_card,4776 Pine Rd,,TRK152672
ORD_00042,42,403,CUST_0403,2023-03-27,2023-03-15T20:24:00.000Z,PROD_083,49,5,2,132.30,211.47,206.22,213.35,10.68,2.58,0.00,returned,SHIPPED,cash,5939 Main St,,TRK882833
ORD_00043,43,82,CUST_0082,5/22/2023,2023-01-20T17:59:00.000Z,PROD_079,96,9,4,253.23,102.25,949.71,415.90,15.98,39.45,0.00,delivered,,bank_transfer,1926 Pine Rd,Special delivery instructions,TRK908743
ORD_00044,44,152,CUST_0152,2/7/2023,2023-04-24T17:44:00.000Z,PROD_131,195,3,4,411.25,338.94,227.72,87.59,11.62,48.38,3.63,SHIPPED,delivered,debit_card,6243 Oak Ave,,
ORD_00045,45,102,CUST_0102,2023-04-15,2023-06-23T21:07:00.000Z,PROD_059,73,7,2,344.49,257.36,91.50,350.84,15.16,18.07,0.00,processing,SHIPPED,cash,5715 Main St,,TRK259738
ORD_00046,46,272,CUST_0272,2023-10-27,2023-02-18T05:25:00.000Z,PROD_123,9,1,3,282.14,353.58,808.31,513.28,0.00,36.06,0.00,pending,,debit_card,9082 Main St,,TRK130329
ORD_00047,47,23,CUST_0023,6/18/2023,2023-10-03T21:52:00.000Z,PROD_105,60,6,5,259.02,80.54,886.77,616.78,0.00,43.51,0.00,returned,delivered,debit_card,4288 Main St,,TRK761438
ORD_00048,48,40,CUST_0040,9/8/2023,2023-05-23T18:27:00.000Z,PROD_049,109,3,5,342.86,293.83,537.17,305.94,20.14,33.80,20.41,delivered,,paypal,2048 Pine Rd,,TRK126491
ORD_00049,49,143,CUST_0143,2023-07-03,2023-01-13T14:44:00.000Z,PROD_078,177,9,2,53.27,288.23,638.43,89.98,13.90,12.76,0.00,,SHIPPED,credit_card,7045 Pine Rd,,TRK761119
ORD_00050,50,48,CUST_0048,2023-01-04,2023-11-12T00:58:00.000Z,PROD_186,168,5,5,20.10,310.31,824.61,543.17,13.36,12.89,43.79,pending,,bank_transfer,7974 Oak Ave,,
ORD_00051,51,238,CUST_0238,,2023-07-26T17:28:00.000Z,PROD_074,165,5,3,108.74,113.83,208.08,517.07,14.78,50.38,0.00,returned,CANCELLED,credit_card,8216 Main St,Special delivery instructions,TRK486619
ORD_00052,52,259,CUST_0259,2023-09-15,2023-11-10T20:05:00.000Z,PROD_114,140,8,3,216.81,77.24,746.34,782.72,16.84,19.94,0.00,SHIPPED,delivered,paypal,3057 Oak Ave,,TRK733278
ORD_00053,53,190,CUST_0190,2023-03-21,2023-05-27T07:20:00.000Z,PROD_113,44,7,1,103.67,231.40,1023.13,206.01,10.48,33.84,24.91,CANCELLED,returned,credit_card,7221 Oak Ave,Special delivery instructions,TRK341359
ORD_00054,54,145,CUST_0145,5/10/2023,2023-03-18T15:01:00.000Z,PROD_183,184,9,2,433.98,98.98,455.81,449.91,0.00,35.32,0.00,,SHIPPED,cash,1925 Main St,,TRK627320
ORD_00055,55,13,CUST_0013,11/6/2023,2023-04-22T19:59:00.000Z,PROD_026,163,4,1,51.81,132.01,891.29,119.56,6.37,42.28,0.00,SHIPPED,returned,cash,6649 Oak Ave,,
ORD_00056,56,400,CUST_0400,4/17/2023,2023-04-05T09:05:00.000Z,PROD_126,87,7,4,86.84,291.81,702.71,80.48,13.02,25.81,0.00,delivered,SHIPPED,debit_card,1181 Oak Ave,,TRK670835
ORD_00057,57,500,CUST_0500,2023-06-22,2023-06-06T17:30:00.000Z,PROD_038,190,1,2,233.39,354.08,717.76,42.80,12.34,46.81,0.00,CANCELLED,delivered,credit_card,8700 Oak Ave,,TRK478374
ORD_00058,58,63,CUST_0063,2023-02-05,2023-03-05T16:48:00.000Z,PROD_068,123,3,1,50.81,396.92,90.45,369.70,16.97,17.98,0.00,CANCELLED,delivered,bank_transfer,7826 Pine Rd,,TRK378917
ORD_00059,59,483,CUST_0483,12/4/2023,,PROD_145,171,4,5,352.50,331.25,823.95,477.40,16.10,15.41,0.00,delivered,processing,cash,8622 Pine Rd,,TRK550464
ORD_00060,60,23,CUST_0023,2023-06-24,2023-01-02T23:47:00.000Z,PROD_028,121,9,2,350.77,79.03,327.66,41.64,13.73,5.85,0.00,returned,,debit_card,1895 Oak Ave,,TRK678217
ORD_00061,61,192,CUST_0192,,2023-12-18T08:46:00.000Z,PROD_193,82,9,3,290.58,209.50,129.49,431.50,13.83,2.45,0.00,processing,processing,paypal,8948 Oak Ave,,
ORD_00062,62,495,CUST_0495,12/17/2023,2023-04-20T09:02:00.000Z,PROD_020,65,4,2,15.51,92.55,824.87,152.54,5.01,26.88,0.00,SHIPPED,delivered,cash,8064 Pine Rd,Special delivery instructions,
ORD_00063,63,432,CUST_0432,2023-10-20,2023-05-05T08:09:00.000Z,PROD_052,195,4,1,100.74,49.45,75.51,604.79,0.00,14.13,0.00,pending,pending,paypal,5585 Oak Ave,,TRK907625
ORD_00064,64,192,CUST_0192,,2023-04-18T09:23:00.000Z,PROD_086,28,6,5,337.19,312.44,194.29,433.95,21.48,13.39,0.00,,,paypal,3360 Main St,,TRK679832
ORD_00065,65,425,CUST_0425,,,PROD_130,139,10,5,493.47,135.68,366.99,461.42,15.43,5.06,0.00,SHIPPED,delivered,cash,1227 Main St,,TRK489794
ORD_00066,66,481,CUST_0481,2023-11-26,2023-04-22T19:22:00.000Z,PROD_153,77,7,2,128.77,229.91,599.02,78.15,20.69,4.15,0.00,,pending,cash,7661 Pine Rd,Special delivery instructions,TRK735477
ORD_00067,67,324,CUST_0324,6/9/2023,2023-02-27T13:06:00.000Z,PROD_036,47,1,4,27.07,80.46,466.53,95.04,13.92,41.56,0.00,returned,pending,bank_transfer,5151 Main St,,TRK537450
ORD_00068,68,416,CUST_0416,2023-12-26,2023-01-27T22:27:00.000Z,PROD_071,176,8,5,317.27,120.70,809.40,780.21,18.34,12.23,0.00,,CANCELLED,credit_card,3120 Oak Ave,Special delivery instructions,TRK293956
ORD_00069,69,244,CUST_0244,1/13/2023,2023-06-13T21:25:00.000Z,PROD_165,123,4,2,273.15,374.06,372.00,495.58,8.30,21.27,0.00,,pending,bank_transfer,3794 Pine Rd,Special delivery instructions,TRK721732
ORD_00070,70,178,CUST_0178,3/1/2023,2023-05-11T05:39:00.000Z,PROD_166,36,3,4,438.00,293.36,631.30,664.80,5.96,32.86,0.00,CANCELLED,CANCELLED,cash,8997 Oak Ave,Special delivery instructions,
ORD_00071,71,281,CUST_0281,2/19/2023,2023-05-12T01:33:00.000Z,PROD_168,121,6,4,207.53,370.94,498.33,696.80,17.91,22.27,0.00,CANCELLED,SHIPPED,credit_card,2575 Main St,,TRK672910
ORD_00072,72,426,CUST_0426,12/17/2023,2023-07-26T05:38:00.000Z,PROD_140,148,9,2,310.68,320.95,716.36,655.60,0.00,27.60,46.90,SHIPPED,returned,paypal,2440 Main St,,TRK683882
ORD_00073,73,499,CUST_0499,8/7/2023,2023-06-11T13:52:00.000Z,PROD_189,155,3,3,110.80,265.54,667.73,124.00,0.00,21.24,0.00,delivered,pending,credit_card,6629 Pine Rd,,TRK642505
ORD_00074,74,488,CUST_0488,5/8/2023,2023-04-06T15:34:00.000Z,PROD_120,16,9,4,320.39,200.02,608.75,246.07,0.00,10.60,0.00,pending,CANCELLED,debit_card,2457 Oak Ave,,
ORD_00075,75,154,CUST_0154,11/20/2023,2023-12-28T18:08:00.000Z,PROD_153,68,10,4,202.58,49.08,856.41,387.48,0.00,44.01,0.00,returned,SHIPPED,debit_card,9854 Oak Ave,Special delivery instructions,TRK643091
ORD_00076,76,232,CUST_0232,2023-02-01,2023-01-01T10:20:00.000Z,PROD_160,168,6,4,323.17,323.81,401.67,159.34,14.11,33.72,19.15,CANCELLED,SHIPPED,paypal,3990 Main St,Special delivery instructions,TRK451694
ORD_00077,77,447,CUST_0447,,2023-11-19T19:02:00.000Z,PROD_143,173,5,1,504.63,159.28,521.90,739.49,10.49,47.60,33.02,returned,CANCELLED,bank_transfer,8762 Oak Ave,,
ORD_00078,78,375,CUST_0375,,2023-07-03T06:56:00.000Z,PROD_032,35,10,3,51.83,239.77,797.45,174.23,0.00,33.92,11.23,delivered,SHIPPED,cash,407 Main St,,TRK615626
ORD_00079,79,150,CUST_0150,1/22/2023,2023-04-14T08:18:00.000Z,PROD_013,102,10,3,210.77,229.67,404.32,329.24,0.00,21.66,0.00,returned,pending,cash,3346 Pine Rd,,TRK589222
ORD_00080,80,273,CUST_0273,2023-02-01,,PROD_015,80,4,5,165.23,234.04,249.32,350.15,22.03,44.75,0.00,processing,pending,bank_transfer,6263 Oak Ave,Special delivery instructions,
ORD_00081,81,210,CUST_0210,2/25/2023,2023-11-22T16:20:00.000Z,PROD_106,64,8,2,279.21,78.55,240.82,479.19,5.31,49.21,2.07,returned,,paypal,5691 Pine Rd,,
ORD_00082,82,186,CUST_0186,,2023-09-19T04:23:00.000Z,PROD_149,15,5,3,133.40,392.66,84.03,130.22,0.00,9.75,0.00,processing,returned,cash,785 Main St,Special delivery instructions,
ORD_00083,83,124,CUST_0124,3/18/2023,2023-03-10T09:53:00.000Z,PROD_120,63,10,3,249.03,261.10,350.53,563.59,0.00,45.27,0.00,delivered,CANCELLED,debit_card,9415 Oak Ave,,TRK738757
ORD_00084,84,336,CUST_0336,2023-09-13,2023-03-10T10:38:00.000Z,PROD_009,36,1,4,60.36,30.99,710.18,810.60,10.12,21.99,39.05,CANCELLED,pending,credit_card,6424 Main St,,
ORD_00085,85,152,CUST_0152,2023-11-20,2023-06-22T19:59:00.000Z,PROD_089,169,4,4,165.50,325.75,333.53,78.01,0.00,44.34,0.00,,SHIPPED,debit_card,4228 Oak Ave,Special delivery instructions,
ORD_00086,86,49,CUST_0049,2023-07-09,2023-07-07T20:31:00.000Z,PROD_131,49,2,3,312.33,336.60,166.30,666.45,15.89,28.47,0.00,SHIPPED,pending,debit_card,9775 Pine Rd,,TRK882932
ORD_00087,87,364,CUST_0364,3/21/2023,2023-08-27T23:07:00.000Z,PROD_191,109,8,3,291.54,116.47,359.25,762.25,8.43,15.20,0.00,pending,SHIPPED,debit_card,1111 Pine Rd,,TRK150821
ORD_00088,88,256,CUST_0256,2023-07-26,,PROD_118,141,2,5,357.23,195.26,367.52,701.03,15.88,24.66,0.00,processing,delivered,credit_card,6235 Main St,,
ORD_00089,89,368,CUST_0368,,,PROD_030,153,4,4,135.43,176.45,946.02,818.14,0.00,5.48,8.93,processing,delivered,debit_card,7044 Pine Rd,,TRK185201
ORD_00090,90,424,CUST_0424,11/19/2023,2023-08-12T15:31:00.000Z,PROD_099,107,6,5,50.36,161.35,97.37,670.36,9.13,29.70,0.00,processing,delivered,paypal,1916 Oak Ave,,TRK559256
ORD_00091,91,403,CUST_0403,2023-06-03,2023-02-07T08:26:00.000Z,PROD_043,15,10,3,19.15,182.79,720.81,354.71,0.00,42.12,0.00,pending,processing,paypal,1536 Main St,,
ORD_00092,92,500,CUST_0500,2023-06-26,2023-07-25T21:11:00.000Z,PROD_018,190,5,4,312.99,294.89,538.51,626.64,0.00,12.46,45.29,processing,pending,paypal,1351 Pine Rd,Special delivery instructions,
ORD_00093,93,305,CUST_0305,2023-02-08,,PROD_075,86,2,2,289.78,20.58,102.37,65.33,15.07,7.47,0.00,,returned,debit_card,1809 Pine Rd,,
ORD_00094,94,65,CUST_0065,,2023-08-15T01:40:00.000Z,PROD_176,192,2,4,151.43,77.48,399.28,67.32,0.00,23.68,0.00,processing,,credit_card,7707 Oak Ave,Special delivery instructions,
ORD_00095,95,110,CUST_0110,,2023-01-01T08:11:00.000Z,PROD_049,186,4,3,18.66,333.94,759.24,489.39,17.50,12.21,0.00,SHIPPED,SHIPPED,credit_card,3831 Pine Rd,,TRK890200
ORD_00096,96,320,CUST_0320,5/26/2023,2023-05-13T20:25:00.000Z,PROD_070,51,6,2,54.14,61.04,809.95,822.65,12.87,12.75,0.00,pending,CANCELLED,credit_card,6887 Main St,,TRK427756
ORD_00097,97,419,CUST_0419,7/12/2023,2023-10-02T07:05:00.000Z,PROD_109,68,2,3,383.92,355.38,955.15,724.03,17.96,41.58,35.59,pending,SHIPPED,debit_card,721 Main St,Special delivery instructions,TRK632351
ORD_00098,98,135,CUST_0135,9/10/2023,2023-07-19T06:03:00.000Z,PROD_165,91,8,3,280.28,125.85,584.14,116.19,6.92,27.14,49.35,processing,returned,credit_card,3880 Main St,,
ORD_00099,99,328,CUST_0328,2023-12-14,2023-01-08T10:56:00.000Z,PROD_047,160,10,2,236.40,158.90,842.34,86.30,6.42,33.08,0.00,CANCELLED,processing,paypal,3562 Pine Rd,Special delivery instructions,TRK180280
ORD_00100,100,366,CUST_0366,7/10/2023,2023-05-15T00:51:00.000Z,PROD_014,101,2,5,42.13,99.82,302.37,75.75,23.21,30.15,0.00,,CANCELLED,credit_card,4474 Main St,,
ORD_00101,101,241,CUST_0241,1/11/2023,2023-03-23T05:25:00.000Z,PROD_136,74,5,1,15.88,47.01,368.09,513.24,6.46,4.30,40.61,delivered,CANCELLED,credit_card,6925 Oak Ave,,
ORD_00102,102,310,CUST_0310,9/20/2023,2023-02-03T08:56:00.000Z,PROD_146,40,7,5,436.19,412.12,615.16,197.92,0.00,24.15,0.00,SHIPPED,processing,debit_card,8705 Main St,,TRK211795
ORD_00103,103,15,CUST_0015,,2023-11-15T02:58:00.000Z,PROD_004,144,5,3,180.82,69.61,345.15,303.72,0.00,9.84,0.00,delivered,returned,credit_card,8817 Main St,,
ORD_00104,104,436,CUST_0436,2023-07-25,2023-01-22T09:16:00.000Z,PROD_196,74,4,5,439.96,48.00,416.13,150.32,24.07,18.83,0.00,processing,returned,debit_card,36 Pine Rd,,TRK400635
ORD_00105,105,375,CUST_0375,12/15/2023,2023-01-21T13:08:00.000Z,PROD_011,17,1,4,375.76,345.36,735.09,616.72,7.67,33.40,0.66,returned,returned,paypal,4412 Pine Rd,,TRK781656
ORD_00106,106,143,CUST_0143,2023-05-16,2023-02-03T08:44:00.000Z,PROD_183,15,2,2,166.38,389.36,584.51,310.26,9.50,13.72,0.00,returned,,bank_transfer,7712 Oak Ave,,TRK839336
ORD_00107,107,152,CUST_0152,,,PROD_109,138,9,4,458.97,45.60,468.78,313.81,13.60,45.56,0.00,,SHIPPED,cash,5752 Pine Rd,,TRK709989
ORD_00108,108,233,CUST_0233,2023-09-13,2023-06-09T20:22:00.000Z,PROD_073,59,1,2,137.44,55.34,110.02,612.56,13.99,2.69,0.00,SHIPPED,delivered,bank_transfer,3678 Main St,,TRK669936
ORD_00109,109,433,CUST_0433,2023-12-24,2023-07-14T16:33:00.000Z,PROD_098,136,5,1,115.38,92.56,843.78,53.54,14.95,36.48,0.00,,pending,credit_card,9526 Main St,,TRK201655
ORD_00110,110,462,CUST_0462,9/9/2023,,PROD_002,24,3,5,158.25,55.09,134.02,724.33,0.00,37.71,0.00,returned,processing,bank_transfer,4293 Oak Ave,Special delivery instructions,TRK580031
ORD_00111,111,421,CUST_0421,2023-06-04,2023-09-17T01:05:00.000Z,PROD_134,180,9,5,321.43,413.68,710.71,625.19,11.02,42.28,32.20,delivered,delivered,bank_transfer,9341 Pine Rd,Special delivery instructions,
ORD_00112,112,66,CUST_0066,2/2/2023,2023-12-03T05:22:00.000Z,PROD_092,187,2,3,257.87,386.33,419.47,409.27,24.45,25.57,0.00,processing,,bank_transfer,9701 Pine Rd,,TRK553575
ORD_00113,113,248,CUST_0248,2023-09-12,2023-02-06T13:44:00.000Z,PROD_034,5,4,5,200.45,167.13,509.64,339.15,21.35,32.86,12.30,returned,,credit_card,3981 Pine Rd,,TRK684396
ORD_00114,114,373,CUST_0373,1/9/2023,2023-01-28T13:34:00.000Z,PROD_113,178,7,3,494.05,360.63,290.80,470.28,7.46,14.27,36.47,delivered,pending,cash,5570 Oak Ave,,
ORD_00115,115,137,CUST_0137,7/15/2023,2023-05-06T14:22:00.000Z,PROD_130,195,2,2,412.20,37.82,69.88,50.71,21.43,29.59,0.00,SHIPPED,,paypal,8925 Pine Rd,Special delivery instructions,
ORD_00116,116,166,CUST_0166,2023-05-27,2023-08-13T08:19:00.000Z,PROD_135,128,6,5,72.41,340.31,377.02,549.26,13.36,36.24,0.00,returned,CANCELLED,bank_transfer,1470 Oak Ave,,TRK720031
ORD_00117,117,330,CUST_0330,,2023-03-14T22:58:00.000Z,PROD_139,43,1,3,200.53,297.71,929.44,663.41,0.00,45.68,0.98,delivered,SHIPPED,cash,82 Oak Ave,,TRK948191
ORD_00118,118,213,CUST_0213,6/16/2023,2023-06-07T07:45:00.000Z,PROD_158,146,1,1,55.96,397.57,288.47,518.94,23.04,4.29,0.00,delivered,processing,cash,9365 Main St,,TRK593424
ORD_00119,119,347,CUST_0347,11/23/2023,2023-04-23T02:15:00.000Z,PROD_049,137,10,3,295.54,309.63,806.27,828.52,18.73,19.25,37.55,CANCELLED,SHIPPED,debit_card,9637 Oak Ave,,TRK533954
ORD_00120,120,319,CUST_0319,4/7/2023,2023-03-20T12:33:00.000Z,PROD_180,74,10,3,427.29,206.27,148.67,535.49,0.00,43.17,0.00,SHIPPED,delivered,bank_transfer,8394 Main St,,
ORD_00121,121,210,CUST_0210,7/4/2023,2023-11-08T09:54:00.000Z,PROD_119,73,4,5,141.86,105.22,339.33,673.62,0.00,30.59,0.00,,processing,credit_card,5605 Oak Ave,,
ORD_00122,122,253,CUST_0253,,2023-02-22T05:38:00.000Z,PROD_066,104,10,4,434.08,340.67,123.34,348.49,21.06,28.13,0.00,processing,,cash,2746 Oak Ave,,TRK217756
ORD_00123,123,188,CUST_0188,2023-03-08,2023-12-13T03:45:00.000Z,PROD_112,85,5,4,152.32,211.56,721.07,691.60,9.26,33.61,0.00,pending,SHIPPED,credit_card,1225 Main St,,
ORD_00124,124,15,CUST_0015,2023-01-05,2023-10-16T00:40:00.000Z,PROD_127,53,1,3,493.83,237.96,67.88,728.28,0.00,18.87,0.00,returned,delivered,debit_card,5111 Pine Rd,,TRK499489
ORD_00125,125,68,CUST_0068,,2023-05-22T17:31:00.000Z,PROD_151,22,5,1,113.83,287.96,953.39,425.41,20.90,42.14,0.00,CANCELLED,pending,bank_transfer,7290 Main St,,
ORD_00126,126,302,CUST_0302,5/20/2023,2023-06-20T05:39:00.000Z,PROD_138,42,9,3,359.91,412.76,298.43,642.46,6.15,49.39,0.00,returned,pending,bank_transfer,3086 Oak Ave,,TRK683744
ORD_00127,127,257,CUST_0257,11/1/2023,,PROD_069,163,6,5,230.14,110.03,914.16,435.54,11.11,37.55,0.00,delivered,CANCELLED,credit_card,8610 Main St,,TRK199815
ORD_00128,128,31,CUST_0031,2/5/2023,2023-04-25T03:26:00.000Z,PROD_025,192,5,2,437.19,124.71,393.37,721.43,24.65,15.13,2.46,,,paypal,7847 Oak Ave,,TRK567492
