dataset,column,types,sample_values,unique_count,null_percentage,notes
products,category,['str'],"['CLOTHING', 'clothing', 'Sports', 'Toys', 'electronics']",8,0.0,
products,product_category,['str'],"['Toys', 'clothing', 'Sports', 'Books', 'CLOTHING']",8,0.0,
products,brand,['str'],"['Brand D', 'BrandA', 'brandE', 'brand_b', '']",6,15.5,
products,manufacturer,['str'],"['brandE', 'BRAND-C', 'BrandA', '', 'brand_b']",6,18.5,
products,price,['float'],"[485.55, 119.25, 436.02, 11.97, 267.75]",199,0.0,
products,list_price,['float'],"[270.33, 582.58, 188.79, 383.12, 389.6]",200,0.0,
products,cost,['float'],"[168.81, 167.96, 285.86, 120.18, 101.7]",200,0.0,
products,weight,['float'],"[5.27, 10.09, 1.19, 4.67, 7.31]",106,44.0,
products,dimensions,['str'],"['13x42x43', '13x4x27', '', '37x19x11', '31x44x3']",107,0.0,
products,color,['str'],"['Black', 'Green', 'Red', 'Blue', '']",6,12.5,
products,size,['str'],"['S', 'XL', '', 'One Size', 'L']",6,11.0,
products,stock_quantity,['int'],"[376, 119, 180, 347, 582]",183,0.0,
products,stock_level,['int'],"[426, 453, 340, 196, 352]",164,0.0,
products,reorder_level,['int'],"[36, 46, 25, 13, 35]",48,0.0,
products,supplier_id,['str'],"['SUP_04', 'SUP_02', 'SUP_15', 'SUP_03', 'SUP_17']",20,26.0,
products,created_date,['str'],"['2020-05-17', '2021-09-23', '2022-04-30', '2022-06-25', '2022-05-22']",153,19.0,
products,last_updated,['str'],"['2023-12-24T18:30:00.000Z', '2023-07-08T18:30:00.000Z', '2023-08-17T18:30:00.000Z', '2023-05-25T18:30:00.000Z', '']",134,0.0,
products,is_active,"['str', 'int', 'bool']","['yes', 'no', False, 'true', 'false']",6,0.0,"Multiple types found: ['str', 'int', 'bool']."
products,rating,['float'],"[4.6, 2.6, 3.5, 2.1, 0.9]",48,30.0,
orders,order_id,['str'],"['ORD_00001', 'ORD_00002', 'ORD_00003', 'ORD_00004', 'ORD_00005']",1000,0.0,
orders,ord_id,['int'],"[1, 2, 3, 4, 5]",1000,0.0,
orders,customer_id,['int'],"[180, 337, 384, 22, 168]",432,0.0,
orders,cust_id,['str'],"['CUST_0180', 'CUST_0337', 'CUST_0384', 'CUST_0022', 'CUST_0168']",432,0.0,
orders,order_date,['str'],"['5/9/2023', '2023-11-30', '2023-01-17', '2023-08-06', '1/13/2023']",480,9.0,
orders,order_datetime,['str'],"['2023-01-03T17:48:00.000Z', '2023-01-20T08:04:00.000Z', '2023-02-20T13:37:00.000Z', '2023-09-02T02:34:00.000Z', '2023-02-15T22:46:00.000Z']",806,19.3,
orders,product_id,['str'],"['PROD_198', 'PROD_044', 'PROD_001', 'PROD_129', 'PROD_074']",199,0.0,
orders,item_id,['int'],"[146, 41, 100, 153, 157]",200,0.0,
orders,quantity,['int'],"[8, 1, 9, 2, 7]",10,0.0,
orders,qty,['int'],"[4, 3, 2, 1, 5]",5,0.0,
orders,unit_price,['float'],"[130.62, 36.21, 146.71, 109.64, 413.82]",990,0.0,
orders,price,['float'],"[404.94, 324.83, 145.07, 232.03, 69.9]",986,0.0,
orders,total_amount,['float'],"[140.51, 887.54, 352.45, 674.66, 813.13]",994,0.0,
orders,order_total,['float'],"[570.3, 700.84, 834.33, 203.85, 178.07]",993,0.0,
orders,shipping_cost,['float'],"[0.0, 12.26, 17.65, 7.0, 13.77]",591,0.0,
orders,tax,['float'],"[9.98, 13.2, 14.0, 10.51, 50.25]",894,0.0,
orders,discount,['float'],"[0.0, 18.36, 30.96, 14.69, 38.16]",279,0.0,
orders,status,['str'],"['delivered', 'processing', 'CANCELLED', 'pending', 'SHIPPED']",6,15.1,
orders,order_status,['str'],"['SHIPPED', 'CANCELLED', 'processing', 'pending', 'delivered']",6,13.3,
orders,payment_method,['str'],"['credit_card', 'paypal', 'bank_transfer', 'cash', 'debit_card']",5,0.0,
orders,shipping_address,['str'],"['8984 Oak Ave', '6820 Oak Ave', '751 Oak Ave', '9781 Oak Ave', '6747 Pine Rd']",984,0.0,
orders,notes,['str'],['Special delivery instructions'],1,78.6,
orders,tracking_number,['str'],"['TRK510443', 'TRK118744', 'TRK745174', 'TRK919582', 'TRK429287']",624,37.6,
